分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 0, IPv6: 100, 最小延迟: 43 ms, 最高速率: 10.00 M/s, 平均速率: 5.89 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 0, IPv6: 81, 最小延迟: 41 ms, 最高速率: 9.89 M/s, 平均速率: 3.97 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 0, IPv6: 59, 最小延迟: 55 ms, 最高速率: 0.84 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 6, IPv4: 0, IPv6: 65, 最小延迟: 734 ms, 最高速率: 1.87 M/s, 平均速率: 1.09 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 6, IPv4: 0, IPv6: 74, 最小延迟: 198 ms, 最高速率: 0.84 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 海南卫视, 有效: 6, IPv4: 0, IPv6: 75, 最小延迟: 69 ms, 最高速率: 6.35 M/s, 平均速率: 2.65 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 0, IPv6: 88, 最小延迟: 763 ms, 最高速率: 0.85 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 0, IPv6: 69, 最小延迟: 69 ms, 最高速率: 6.80 M/s, 平均速率: 3.58 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 0, IPv6: 70, 最小延迟: 69 ms, 最高速率: 6.34 M/s, 平均速率: 4.87 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 6, IPv4: 0, IPv6: 94, 最小延迟: 44 ms, 最高速率: 9.96 M/s, 平均速率: 6.63 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 6, IPv4: 0, IPv6: 90, 最小延迟: 42 ms, 最高速率: 10.05 M/s, 平均速率: 4.53 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 6, IPv4: 0, IPv6: 89, 最小延迟: 197 ms, 最高速率: 11.11 M/s, 平均速率: 2.49 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 6, IPv4: 0, IPv6: 69, 最小延迟: 112 ms, 最高速率: 10.57 M/s, 平均速率: 3.93 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 0, IPv6: 55, 最小延迟: 49 ms, 最高速率: 0.84 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 6, IPv4: 0, IPv6: 78, 最小延迟: 766 ms, 最高速率: 0.84 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 山东卫视, 有效: 6, IPv4: 0, IPv6: 84, 最小延迟: 766 ms, 最高速率: 0.84 M/s, 平均速率: 0.75 M/s, 最高分辨率: 1920x1080
